 total number of assessments in srDB 
-------------------------------------
                                 231
(1 row)

 total number of assessments in srDB excluding RAM original data 
-----------------------------------------------------------------
                                                             179
(1 row)

  recorder   | total number of assessments in srDB 
-------------+-------------------------------------
 MYERS       |                                  52
 MINTO       |                                  37
 JENNINGS    |                                  27
 JENSEN      |                                  21
 PREFONTAINE |                                  21
 BRANCH      |                                  17
 FULTON      |                                  15
 COLLIE      |                                  12
 BAUM        |                                   7
 Parma       |                                   6
 PRÉFONTAINE |                                   3
 de Moor     |                                   2
 FRANCIS     |                                   2
 Johnston    |                                   2
 WORM        |                                   2
 GILROY      |                                   1
 HUTCHINGS   |                                   1
 LEGAULT     |                                   1
 TERCEIRO    |                                   1
 WIGLEY      |                                   1
(20 rows)

  recorder   | total number of assessments with time-series data in srDB 
-------------+-----------------------------------------------------------
 MYERS       |                                                        52
 MINTO       |                                                        37
 JENNINGS    |                                                        27
 PREFONTAINE |                                                        21
 JENSEN      |                                                        21
 BRANCH      |                                                        17
 FULTON      |                                                        15
 COLLIE      |                                                        12
 BAUM        |                                                         7
 Parma       |                                                         6
 WORM        |                                                         2
 FRANCIS     |                                                         2
 de Moor     |                                                         2
 Johnston    |                                                         2
 PRÉFONTAINE |                                                         2
 HUTCHINGS   |                                                         1
 LEGAULT     |                                                         1
 WIGLEY      |                                                         1
 TERCEIRO    |                                                         1
 GILROY      |                                                         1
(20 rows)

  recorder   | total number of assessments with biometrics data in srDB 
-------------+----------------------------------------------------------
 MINTO       |                                                       37
 JENNINGS    |                                                       27
 PREFONTAINE |                                                       21
 JENSEN      |                                                       20
 BRANCH      |                                                       17
 FULTON      |                                                       15
 COLLIE      |                                                        7
 BAUM        |                                                        7
 Parma       |                                                        6
 FRANCIS     |                                                        2
 WORM        |                                                        2
 de Moor     |                                                        2
 Johnston    |                                                        2
 PRÉFONTAINE |                                                        2
 HUTCHINGS   |                                                        1
 LEGAULT     |                                                        1
 WIGLEY      |                                                        1
 TERCEIRO    |                                                        1
 GILROY      |                                                        1
(19 rows)

  recorder   |                         stocklong                         |        scientificname         |      stockid      
 Whiting                | Gadidae          | Gadiformes        | Merlangius merlangus          |     5
 Southern blue whiting  | Gadidae          | Gadiformes        | Micromesistius australis      |     1
 Blue whiting           | Gadidae          | Gadiformes        | Micromesistius poutassou      |     1
 Pollock                | Gadidae          | Gadiformes        | Pollachius virens             |     5
 Norway Pout            | Gadidae          | Gadiformes        | Trisopterus esmarkii          |     2
 common gemfish         | Gempylidae       | Perciformes       | Rexea solandri                |     1
 Tautog                 | Labridae         | Perciformes       | Tautoga onitis                |     1
 Monkfish               | Lophiidae        | Lophiiformes      | Lophius americanus            |     1
 Mutton snapper         | Lutjanidae       | Perciformes       | Lutjanus analis               |     1
 Red snapper            | Lutjanidae       | Perciformes       | Lutjanus campechanus          |     1
 Vermilion snapper      | Lutjanidae       | Perciformes       | Rhomboplites aurorubens       |     1
 Tasmanian giant crab   | Menippidae       | Decapoda          | Pseudocarcinus gigas          |     1
 Patagonian grenadier   | Merlucciidae     | Gadiformes        | Macruronus magellanicus       |     1
 Hoki                   | Merlucciidae     | Gadiformes        | Macruronus novaezelandiae     |     2
 Argentine hake         | Merlucciidae     | Gadiformes        | Merluccius hubbsi             |     2
 Hake                   | Merlucciidae     | Gadiformes        | Merluccius merluccius         |     2
 Pacific hake           | Merlucciidae     | Gadiformes        | Merluccius productus          |     1
 American lobster       | Nephropidae      | Decapoda          | Homarus americanus            |     1
 Australian rockling    | Ophidiidae       | Ophidiiformes     | Genypterus blacodes           |     2
 Capelin                | Osmeridae        | Osmeriformes      | Mallotus villosus             |     3
 Southern spiny lobster | Palinuridae      | Decapoda          | Palinurus gilchristi          |     1
 Summer flounder        | Paralichthyidae  | Pleuronectiformes | Paralichthys dentatus         |     1
 Brown tiger shrimp     | Penaeidae        | Decapoda          | Penaeus esculentus            |     2
 Tiger flathead         | Platycephalidae  | Scorpaeniformes   | Neoplatycephalus richardsoni  |     1
                        | Platycephalidae  | Scorpaeniformes   | Platycephalus conatus         |     1
 American plaice        | Pleuronectidae   | Pleuronectiformes | Hippoglossoides platessoides  |     5
 Rock sole              | Pleuronectidae   | Pleuronectiformes | Lepidopsetta bilineata        |     1
 Yellowtail flounder    | Pleuronectidae   | Pleuronectiformes | Limanda ferruginea            |     5
 English sole           | Pleuronectidae   | Pleuronectiformes | Parophrys vetulus             |     2
 European Plaice        | Pleuronectidae   | Pleuronectiformes | Pleuronectes platessa         |    10
 Winter flounder        | Pleuronectidae   | Pleuronectiformes | Pseudopleuronectes americanus |     2
 Greenland halibut      | Pleuronectidae   | Pleuronectiformes | Reinhardtius hippoglossoides  |     5
 Arrowtooth flounder    | Pleuronectidae   | Pleuronectiformes | Reinhardtius stomias          |     1
 Barndoor skate         | Rajidae          | Rajiformes        | Dipturus laevis               |     1
 Longnose skate         | Rajidae          | Rajiformes        | Raja rhina                    |     1
 Skipjack tuna          | Scombridae       | Perciformes       | Katsuwonus pelamis            |     1
 King Mackerel          | Scombridae       | Perciformes       | Scomberomorus cavalla         |     2
 Spanish mackerel       | Scombridae       | Perciformes       | Scomberomorus maculatus       |     1
 Mackerel               | Scombridae       | Perciformes       | Scomber scombrus              |     2
 Albacore tuna          | Scombridae       | Perciformes       | Thunnus alalunga              |     2
 Yellowfin tuna         | Scombridae       | Perciformes       | Thunnus albacares             |     2
 Bigeye tuna            | Scombridae       | Perciformes       | Thunnus obesus                |     2
 Atlantic bluefin tuna  | Scombridae       | Perciformes       | Thunnus thynnus               |     1
 Fourspotted megrim     | Scophthalmidae   | Pleuronectiformes | Lepidorhombus boscii          |     1
 Megrim                 | Scophthalmidae   | Pleuronectiformes | Lepidorhombus whiffiagonis    |     1
 Pacific ocean perch    | Scorpaenidae     | Scorpaeniformes   | Sebastes alutus               |     1
 Darkblotched rockfish  | Scorpaenidae     | Scorpaeniformes   | Sebastes crameri              |     1
 Widow rockfish         | Scorpaenidae     | Scorpaeniformes   | Sebastes entomelas            |     1
 Chilipepper rockfish   | Scorpaenidae     | Scorpaeniformes   | Sebastes goodei               |     1
 Shortbelly rockfish    | Scorpaenidae     | Scorpaeniformes   | Sebastes jordani              |     1
 Cowcod                 | Scorpaenidae     | Scorpaeniformes   | Sebastes levis                |     1
 Black rockfish         | Scorpaenidae     | Scorpaeniformes   | Sebastes melanops             |     2
 Deepwater redfish      | Scorpaenidae     | Scorpaeniformes   | Sebastes mentella             |     1
 Blue rockfish          | Scorpaenidae     | Scorpaeniformes   | Sebastes mystinus             |     1
 Golden Redfish         | Scorpaenidae     | Scorpaeniformes   | Sebastes norvegicus           |     1
 Bocaccio               | Scorpaenidae     | Scorpaeniformes   | Sebastes paucispinis          |     1
 Canary rockfish        | Scorpaenidae     | Scorpaeniformes   | Sebastes pinniger             |     1
 Yelloweye rockfish     | Scorpaenidae     | Scorpaeniformes   | Sebastes ruberrimus           |     1
 Red grouper            | Serranidae       | Perciformes       | Epinephelus morio             |     1
 Gag                    | Serranidae       | Perciformes       | Mycteroperca microlepis       |     2
 School whiting         | Sillaginidae     | Perciformes       | Sillago flindersi             |     1
 common European sole   | Soleidae         | Pleuronectiformes | Solea vulgaris                |    13
 Common seabream        | Sparidae         | Perciformes       | Pagrus pagrus                 |     1
 Orange roughy          | Trachichthyidae  | Beryciformes      | Hoplostethus atlanticus       |     2
 Swordfish              | Xiphiidae        | Perciformes       | Xiphias gladius               |     1
 Ocean pout             | Zoarcidae        | Perciformes       | Zoarces americanus            |     1
(86 rows)

      commonname1       |      family      |     ordername     |        scientificname         |                         stocklong                         | count 
------------------------+------------------+-------------------+-------------------------------+-----------------------------------------------------------+-------
 Sand eel               | Ammodytidae      | Perciformes       | Ammodytes marinus             | Sandeel Northern North Sea                                |     1
 Sand eel               | Ammodytidae      | Perciformes       | Ammodytes marinus             | Sandeel North Sea                                         |     1
 Sand eel               | Ammodytidae      | Perciformes       | Ammodytes marinus             | Sandeel Southern North Sea                                |     1
 Sablefish              | Anoplopomatidae  | Scorpaeniformes   | Anoplopoma fimbria            | Sablefish Pacific Coast                                   |     1
 Gray triggerfish       | Balistidae       | Tetraodontiformes | Balistes capriscus            | Gray triggerfish Gulf of Mexico                           |     1
 Bight redfish          | Berycidae        | Beryciformes      | Centroberyx gerrardi          | Bight redfish Southeast Australia                         |     1
 Greater amberjack      | Carangidae       | Perciformes       | Seriola dumerili              | Greater amberjack Gulf of Mexico                          |     1
 Greater amberjack      | Carangidae       | Perciformes       | Seriola dumerili              | Greater amberjack Southern Atlantic coast                 |     1
 Cape horse mackerel    | Carangidae       | Perciformes       | Trachurus capensis            | Cape horse mackerel South Africa South coast              |     1
 whario                 | Centrolophidae   | Perciformes       | Seriolella brama              | Blue Warehou Great Australian Bight                       |     1
 whario                 | Centrolophidae   | Perciformes       | Seriolella brama              | Blue Warehou Southeast Australia                          |     1
 Silverfish             | Centrolophidae   | Perciformes       | Seriolella punctata           | Silverfish Southeast Australia                            |     1
 Hawaiian morwong       | Cheilodactylidae | Perciformes       | Nemadactylus macropterus      | Jackass morwong Southeast Australia                       |     1
 Gulf menhaden          | Clupeidae        | Clupeiformes      | Brevoortia patronus           | Gulf menhaden Gulf of Mexico                              |     1
 Herring                | Clupeidae        | Clupeiformes      | Clupea harengus               | Herring Iceland (Summer spawners)                         |     2
 Herring                | Clupeidae        | Clupeiformes      | Clupea harengus               | Herring ICES 22-24-IIIa                                   |     1
 Herring                | Clupeidae        | Clupeiformes      | Clupea harengus               | Herring ICES 25-32                                        |     1
 Herring                | Clupeidae        | Clupeiformes      | Clupea harengus               | Herring ICES 28                                           |     1
 Herring                | Clupeidae        | Clupeiformes      | Clupea harengus               | Herring ICES 30                                           |     1
 Herring                | Clupeidae        | Clupeiformes      | Clupea harengus               | Herring ICES 31                                           |     1
 Herring                | Clupeidae        | Clupeiformes      | Clupea harengus               | Herring ICES VIa                                          |     1
 Herring                | Clupeidae        | Clupeiformes      | Clupea harengus               | Herring ICES VIa-VIIb-VIIc                                |     2
 Herring                | Clupeidae        | Clupeiformes      | Clupea harengus               | Herring NAFO 4R fall spawners                             |     1
 Herring                | Clupeidae        | Clupeiformes      | Clupea harengus               | Herring NAFO 4R spring spawners                           |     1
 Herring                | Clupeidae        | Clupeiformes      | Clupea harengus               | Herring NAFO 4T fall spawners                             |     1
 Herring                | Clupeidae        | Clupeiformes      | Clupea harengus               | Herring NAFO 4T spring spawners                           |     1
 Herring                | Clupeidae        | Clupeiformes      | Clupea harengus               | Herring Northern Irish Sea                                |     2
 Herring                | Clupeidae        | Clupeiformes      | Clupea harengus               | Herring North Sea                                         |     2
 Herring                | Clupeidae        | Clupeiformes      | Clupea harengus               | Herring Scotian Shelf and Bay of Fundy                    |     1
 Pacific herring        | Clupeidae        | Clupeiformes      | Clupea pallasii               | Pacific herring Central Coast                             |     1
 Pacific herring        | Clupeidae        | Clupeiformes      | Clupea pallasii               | Pacific herring Prince Rupert District                    |     1
 Pacific herring        | Clupeidae        | Clupeiformes      | Clupea pallasii               | Pacific herring Queen Charlotte Islands                   |     1
 Pacific herring        | Clupeidae        | Clupeiformes      | Clupea pallasii               | Pacific herring Straight of Georgia                       |     1
 Pacific herring        | Clupeidae        | Clupeiformes      | Clupea pallasii               | Pacific herring West Coast of Vancouver Island            |     1
 European pilchard      | Clupeidae        | Clupeiformes      | Sardina pilchardus            | European pilchard ICES VIIIc-IXa                          |     1
 Sardine                | Clupeidae        | Clupeiformes      | Sardinops sagax               | Sardine South Africa                                      |     1
 Sprat                  | Clupeidae        | Clupeiformes      | Sprattus sprattus             | Sprat ICES Baltic Areas 22-32                             |     2
 Sprat                  | Clupeidae        | Clupeiformes      | Sprattus sprattus             | Sprat North Sea                                           |     1
 Argentine anchoita     | Engraulidae      | Clupeiformes      | Engraulis anchoita            | Argentine anchoita Northern Argentina                     |     1
 Argentine anchoita     | Engraulidae      | Clupeiformes      | Engraulis anchoita            | Argentine anchoita Southern Argentina                     |     1
 Anchovy                | Engraulidae      | Clupeiformes      | Engraulis encrasicolus        | Anchovy ICES VIII                                         |     1
 Anchovy                | Engraulidae      | Clupeiformes      | Engraulis encrasicolus        | Anchovy South Africa                                      |     1
 Pacific cod            | Gadidae          | Gadiformes        | Gadus macrocephalus           | Pacific cod Gulf of Alaska                                |     2
